5110;Železný Brod;2;0;3;0;20;10%;-16;38;9;61;46;30;19;17;59;22;29;52;5;12;0;54;45;34;22;14;12;43;15;20;38;244;0;128;116;244;70%;244;0;;Vodňany;3117;;8121;141;;8121;43
5201;Broumov;5;3;47;28;29;17%;32;9;18;59;52;63;46;18;15;66;30;71;8;10;24;106;38;33;41;29;8;3;41;14;45;251;0;149;102;251;8%;251;0;;Broumov;5201;;2102;361;;2102;83
5202;Dobruška;10;4;76;20;18;56%;64;61;85;43;27;51;34;31;46;65;49;46;0;9;63;89;47;35;53;40;38;37;51;39;37;378;0;214;164;378;69%;378;0;;Dobruška;5202;;2118;222;;2118;62
5203;Dvůr Králové nad Labem;8;4;66;13;30;27%;37;56;39;58;63;45;43;14;31;41;34;55;4;5;100;109;52;56;42;41;19;26;33;28;44;340;0;209;131;340;51%;340;0;;Dvůr Králové nad Labem;5203;;2121;226;;2121;63
5204;Hořice;3;0;45;26;24;13%;32;56;6;12;23;29;31;25;20;33;28;21;8;8;74;105;11;19;24;25;21;16;26;22;17;179;0;99;80;179;53%;179;0;;Hořice;5204;;3109;182;;3109;51
5205;Hradec Králové;58;31;106;133;193;30%;44;343;132;122;193;126;148;165;197;188;212;224;10;19;314;702;98;151;101;117;130;135;128;146;155;1 160;0;597;563;1 160;49%;1160;0;;Hradec Králové;5205;;3111;131;;3111;45
5206;Jaroměř;4;1;28;15;26;15%;10;48;33;16;24;16;13;24;6;10;8;17;2;5;59;102;16;22;16;14;22;4;7;5;12;116;0;89;27;116;47%;116;0;;Jaroměř;5206;;3205;263;;3205;62
5207;Jičín;13;8;80;59;80;16%;37;125;18;61;70;65;52;71;51;45;66;60;9;9;224;272;51;58;54;44;58;41;36;52;48;442;0;265;177;442;46%;442;0;;Jičín;5207;;3207;50;;3207;12
5208;Kostelec nad Orlicí;13;6;35;41;29;45%;41;84;72;31;34;39;34;30;65;39;26;31;0;0;36;122;33;35;39;35;32;48;28;18;22;290;0;174;116;290;69%;290;0;;Kostelec nad Orlicí;5208;;4105;343;;4105;84
5209;Náchod;43;24;92;100;116;37%;71;194;173;84;77;53;82;69;70;91;68;66;0;10;228;327;93;88;70;92;82;57;73;55;54;664;0;425;239;664;59%;664;0;;Náchod;5209;;5205;702;;5205;193
5210;Nová Paka;4;1;5;12;24;17%;-7;19;14;40;38;32;32;38;42;42;35;60;0;0;76;81;32;30;26;26;30;31;31;26;44;275;0;143;132;275;23%;275;0;;Nová Paka;5210;;5210;81;;5210;24
5211;Nové Město nad Metují;10;7;37;6;18;56%;24;54;41;9;21;27;30;16;34;4;15;20;0;3;19;76;12;21;26;28;17;25;2;10;14;155;0;104;52;155;71%;155;0;;Nové Město nad Metují;5211;;5212;98;;5212;21
5212;Nový Bydžov;4;4;16;6;21;19%;-1;65;42;35;29;42;31;41;19;38;49;52;10;11;36;98;32;28;37;29;37;14;28;36;39;280;0;163;117;280;66%;280;0;;Nový Bydžov;5212;;5214;269;;5214;66
5213;Rychnov nad Kněžnou;21;8;86;57;60;35%;68;178;83;68;44;47;55;40;62;42;59;69;31;40;94;257;63;45;47;53;42;47;32;44;52;425;0;251;174;425;69%;425;0;;Prachatice;3109;;6211;129;;6211;42
5214;Trutnov;30;17;149;93;66;45%;146;136;81;109;98;76;86;111;63;51;69;80;7;47;371;269;110;102;85;93;112;65;56;69;77;769;0;502;267;769;51%;769;0;;Světlá nad Sázavou;6111;;7202;29;;7202;4
5215;Vrchlabí;13;2;57;0;57;23%;-1;92;24;26;42;34;25;42;19;18;13;24;6;11;89;209;18;30;24;17;30;9;8;4;13;152;0;117;34;152;44%;152;0;;Ústí nad Orlicí;5313;;8111;70;;8111;24
5301;Česká Třebová;6;4;52;15;13;46%;43;32;30;31;46;28;49;43;32;19;34;29;0;0;24;50;28;39;26;41;37;24;14;26;22;256;0;170;86;256;64%;256;0;;Česká Třebová;5301;;2111;225;;2111;78
5302;Hlinsko;5;2;28;26;22;23%;24;28;92;63;32;40;41;48;46;35;52;43;1;1;35;71;59;36;42;43;48;33;24;37;30;352;0;228;125;352;39%;352;0;;Hlinsko;5302;;3102;818;;3102;235
5303;Holice;0;0;12;8;28;0%;-13;23;12;36;28;31;19;43;43;29;29;42;0;0;244;117;39;33;35;26;44;42;32;32;41;323;0;176;147;323;20%;323;0;;Holice;5303;;3106;134;;3106;24
5304;Chrudim;22;11;77;136;127;17%;55;266;107;111;168;148;96;101;174;139;141;114;31;59;163;500;88;130;115;76;80;120;93;95;75;872;0;489;382;872;53%;872;0;;Chrudim;5304;;3201;46;;3201;18
